"product_id","product_name","is_wine","primary_category","wine_type","vintage_year","series","price_jpy_tax_included","currency","price_note","stock_status","exact_stock","country","region","winery","grape_varieties","blend_ratio","sweetness","acidity","tannin","body","oak_aging","sparkling_method","recommended_serving_temp_c","flavor_tags","food_pairing","occasion_tags","beginner_friendly","ai_recommendation_notes","product_description","source_url","data_quality_note","legal_note","collected_at","primary_image_local_path","image_local_paths","image_urls"
"9162710","Gift box for 1 bottle","no","gift box","","","gift","200","JPY","tax included","in stock","unknown","Japan","","Tsukuba Winery","","","","","","","","","","","","gift; add-on","","Gift add-on. Useful as a one-bottle gift box when recommending a single bottle of wine.","Gift box for one bottle. The ordered wine is packed in this box. An information sheet without the price is included. Box only; wine is not included. Sparkling wine may use a dedicated box and may differ from the photo.","https://twinpeaks.buyshop.jp/items/9162710","Non-wine add-on; no sensory wine fields.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\9162710_Gift_box_for_1_bottle\9162710_01.jpg",".\product_images\9162710_Gift_box_for_1_bottle\9162710_01.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/a9e0e838e454edd7743677cdedb02bc1.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
"9162738","Gift box for 2 bottles","no","gift box","","","gift","300","JPY","tax included","in stock","unknown","Japan","","Tsukuba Winery","","","","","","","","","","","","gift; add-on","","Gift add-on. Useful as a two-bottle gift box when recommending a two-bottle set.","Gift box for two bottles. The ordered wine is packed in this box. An information sheet without the price is included. Box only; wine is not included. Sparkling wine may use a dedicated box and may differ from the photo.","https://twinpeaks.buyshop.jp/items/9162738","Non-wine add-on; no sensory wine fields.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\9162738_Gift_box_for_2_bottles\9162738_01.jpg",".\product_images\9162738_Gift_box_for_2_bottles\9162738_01.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/c951eeab584358d31fc11cce95cddbec.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
"143240339","2024 TSUKUBA ROUGE Premium","yes","red wine","red","2024","TSUKUBA ROUGE Premium","4290","JPY","tax included","in stock","unknown","Japan","Tsukuba, Ibaraki, Japan","Tsukuba Winery","Fuji no Yume; Tannat; Marselan; Merlot","Fuji no Yume 57%; Tannat 20%; Marselan 17%; Merlot 6%","unknown","medium-high","soft to medium","medium","aged in oak barrels for about 10 months","","","fresh fruit; pleasant acidity; richness; depth","roasted chicken thigh; ginger pork; teriyaki chicken; sukiyaki; roast duck","dinner; gift; premium; meat pairing","yes","A safe choice for red-wine beginners and gifts. Pleasant acidity, a lighter style than previous years, and not tiring to drink. Good with chicken, pork, sukiyaki, and other Japanese-style meat dishes.","Blend of Fuji no Yume 57%, Tannat 20%, Marselan 17%, and Merlot 6%. Fresh fruit and pleasant acidity create a light, balanced style that is not tiring to drink. Aged in oak barrels for about 10 months.","https://twinpeaks.buyshop.jp/items/143240339","Some sensory values were normalized from the product description.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\143240339_2024_TSUKUBA_ROUGE_Premium\143240339_01.jpg",".\product_images\143240339_2024_TSUKUBA_ROUGE_Premium\143240339_01.jpg; .\product_images\143240339_2024_TSUKUBA_ROUGE_Premium\143240339_02.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/f3e3a88526f625cda6c643f2e6401952.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center; https://baseec-img-mng.akamaized.net/images/item/origin/0c8ab84291a69d347aad8baad17be32e.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
"139905161","2024 TSUKUBA BLANC","yes","white wine","white","2024","TSUKUBA BLANC","3190","JPY","tax included","in stock","unknown","Japan","Tsukuba, Ibaraki, Japan","Tsukuba Winery","Hokuten no Shizuku (Yamabudo × Riesling)","","dry","medium-high","none","light","","","11+","citrus; green apple; lemon peel; fresh; refreshing","salt-lemon grilled chicken breast; white fish acqua pazza; shirasu and olive oil pasta; Japanese-style octopus marinade","everyday; seafood; light meal; beginner friendly","yes","For people who want a crisp dry white wine. Bright acidity makes it easy to pair with fish, chicken breast, seafood, and lighter Japanese dishes.","Hokuten no Shizuku is a crossing of Yamabudo and Riesling. Citrus, green apple, and lemon-peel nuances. A dry white wine with pleasant acidity.","https://twinpeaks.buyshop.jp/items/139905161","Serving temperature is stated as from 11°C.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\139905161_2024_TSUKUBA_BLANC\139905161_01.jpg",".\product_images\139905161_2024_TSUKUBA_BLANC\139905161_01.jpg; .\product_images\139905161_2024_TSUKUBA_BLANC\139905161_02.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/62dfbf9fab8abb90e97966e40cb59102.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center; https://baseec-img-mng.akamaized.net/images/item/origin/46de56b4ef35fff14810a4ca77e0f405.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
"122657969","2024 TSUKUBA ROUGE","yes","red wine","red","2024","TSUKUBA ROUGE","3190","JPY","tax included","in stock","unknown","Japan","Tsukuba, Ibaraki, Japan","Tsukuba Winery","Fuji no Yume","","unknown","unknown","unknown","medium","subtle oak aroma","","","pomegranate; dried plum; blackberry; blueberry; chocolate; dark fruit; subtle oak","","red wine; everyday; fruit-forward","unknown","For users looking for dark-fruit character and subtle oak in a red wine. The product page does not list specific food pairings.","A red wine made consistently from cultivation through vinification. Fuji no Yume gives dark-fruit aromas, a floral impression, and subtle oak. Flavors include pomegranate, dried plum, blackberry, blueberry, and chocolate.","https://twinpeaks.buyshop.jp/items/122657969","No specific food pairing is provided on the product page.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\122657969_2024_TSUKUBA_ROUGE\122657969_01.jpg",".\product_images\122657969_2024_TSUKUBA_ROUGE\122657969_01.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/edae2f8d951ca58d4a390e78d92d7271.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
"109904206","2024 TWIN PEAKS BLANC","yes","white wine","white","2024","TWIN PEAKS BLANC","4290","JPY","tax included","in stock","unknown","Japan","Tsukuba, Ibaraki, Japan","Tsukuba Winery","Chardonnay; Petit Manseng; Albariño","","unknown","medium-high","none","medium to full","","","","citrus; tea-like richness; rounded acidity; premium","salmon; white fish carpaccio such as sea bream; oysters with lemon","premium; gift; seafood; award-winning","yes","Silver award in the European-variety white wine category at the 2025 Japan Wine Competition. Suitable for gifts, seafood meals, and users who want a white wine with more depth than an everyday bottle.","Silver award at the 2025 Japan Wine Competition. A blend of Chardonnay, Petit Manseng, and Albariño. Citrus aromas and tea-like richness.","https://twinpeaks.buyshop.jp/items/109904206","Award information is based on the shop page.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\109904206_2024_TWIN_PEAKS_BLANC\109904206_01.jpg",".\product_images\109904206_2024_TWIN_PEAKS_BLANC\109904206_01.jpg; .\product_images\109904206_2024_TWIN_PEAKS_BLANC\109904206_02.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/379105c9c0d5c3e0df866eea8b3c900c.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center; https://baseec-img-mng.akamaized.net/images/item/origin/03f7801a7e57c0847dde3be60c1374a1.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
"125579673","2024 TWIN PEAKS Marselan Premium","yes","red wine","red","2024","TWIN PEAKS Marselan Premium","5390","JPY","tax included","in stock","unknown","Japan","Tsukuba, Ibaraki, Japan","Tsukuba Winery","Marselan (Grenache × Cabernet Sauvignon)","","unknown","high","light","medium","unknown","","","berry notes; sweet fruit; smoky; cooling freshness; spice; rounded texture","grilled lotus root stuffed with meat; roast duck with balsamic and mustard sauce; pastrami beef; game dishes","premium; meat pairing; game meat; distinctive grape variety","medium","For users who want to try a distinctive grape variety. The wine has relatively strong acidity, light tannins, and berry, smoky, and spicy notes. Good with duck, beef, and game.","Marselan. Berry notes, soft sweet fruit, and smokiness. The acidity is somewhat strong and the tannins are slightly light. It becomes rounder over time.","https://twinpeaks.buyshop.jp/items/125579673","Tannin and acidity were normalized from explicit text.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\125579673_2024_TWIN_PEAKS_Marselan_Premium\125579673_01.jpg",".\product_images\125579673_2024_TWIN_PEAKS_Marselan_Premium\125579673_01.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/e222d4e6dd39480def676c8db5f890dd.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
"118824420","2024 TWIN PEAKS Chardonnay","yes","white wine","white","2024","TWIN PEAKS Chardonnay","4290","JPY","tax included","in stock","unknown","Japan","Tsukuba, Ibaraki, Japan","Tsukuba Winery","Chardonnay","","dry","medium","none","medium","partly barrel-fermented and barrel-aged","","","fruitiness; pleasant acidity; oak aroma; balanced","butter-sautéed white fish; crab gratin; porcini risotto","white wine; rich white wine; seafood; creamy food","yes","For people who like a touch of oak and dishes with butter or creamy richness. Pairs well with butter-sautéed fish, gratin, and mushroom risotto.","A dry Chardonnay wine blended with a portion that was barrel-fermented and barrel-aged. Fruitiness and pleasant acidity are followed by expanding oak aroma.","https://twinpeaks.buyshop.jp/items/118824420","Dry style is stated on the product page.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\118824420_2024_TWIN_PEAKS_Chardonnay\118824420_01.jpg",".\product_images\118824420_2024_TWIN_PEAKS_Chardonnay\118824420_01.jpg; .\product_images\118824420_2024_TWIN_PEAKS_Chardonnay\118824420_02.jpg; .\product_images\118824420_2024_TWIN_PEAKS_Chardonnay\118824420_03.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/4a58dadc0a9cd948edf48bd0f2a36a59.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center; https://baseec-img-mng.akamaized.net/images/item/origin/77a308c37911ce0f8b542f99848cbea9.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center; https://baseec-img-mng.akamaized.net/images/item/origin/cddd94b7ee88b55540b62d85f26ffc21.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
"86069780","2023 TSUKUBA BLANC","yes","white wine","white","2023","TSUKUBA BLANC","3190","JPY","tax included","in stock","unknown","Japan","Tsukuba, Ibaraki, Japan","Tsukuba Winery","unknown","","unknown","medium-high","none","light to medium","","","","citrus; white flower nectar; limestone; seashell; minerality; refreshing","chirashi sushi; Japanese cuisine","Japanese food; seafood; refreshing; everyday","yes","Refreshing and mineral-driven, easy to pair with sushi and Japanese food. A safe option for lighter dishes.","A white wine made consistently from cultivation through vinification. Citrus, white flower nectar, and limestone or seashell-like minerality. Fruit and acidity are integrated.","https://twinpeaks.buyshop.jp/items/86069780","Grape variety is not listed on the product page.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\86069780_2023_TSUKUBA_BLANC\86069780_01.jpg",".\product_images\86069780_2023_TSUKUBA_BLANC\86069780_01.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/1e3f442227fc4532ec8eff85e6805eac.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
"92513963","2023 TSUKUBA ROUGE","yes","red wine","red","2023","TSUKUBA ROUGE","3190","JPY","tax included","in stock","unknown","Japan","Tsukuba, Ibaraki, Japan","Tsukuba Winery","Fuji no Yume (Merlot × Yamabudo)","","unknown","unknown","unknown","medium","subtle oak aroma","","","dark fruit; floral lift; subtle oak","","red wine; everyday; fruit-forward","unknown","An everyday red based on Fuji no Yume, with dark-fruit notes and subtle oak. The product page does not list specific food pairings.","Fuji no Yume. Deep dark-fruit aroma with a floral lift and a lingering subtle oak aroma.","https://twinpeaks.buyshop.jp/items/92513963","No specific food pairing is provided on the product page.","Not for sale to persons under age 20. Drink responsibly.","2026-06-02",".\product_images\92513963_2023_TSUKUBA_ROUGE\92513963_01.jpg",".\product_images\92513963_2023_TSUKUBA_ROUGE\92513963_01.jpg","https://baseec-img-mng.akamaized.net/images/item/origin/564881775638eefa4fd9cdf3f2f697b7.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center"
